id,title,duration_min,speakers_name,speakers_occupation,event,topics,views,page_url,published_date,recorded_date,subtitle_languages,likes
2415,The unheard story of the Sistine Chapel,17.383333333333333,Elizabeth Lev,Art historian,TEDGlobal>Geneva,"culture, creativity, art, history, religion, Christianity, visualizations, museums, beauty, painting",1841403,https://www.ted.com/talks/elizabeth_lev_the_unheard_story_of_the_sistine_chapel,2016-01-22,2015-12-08,"Esperanto, Greek, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Spanish, Russian, Dutch, Portuguese, Chinese, Simplified, Chinese, Traditional, Turkish, Thai, French, German, Hungarian, Persian, Japanese, Hebrew, Serbian, Korean, Polish, Romanian",55000
2413,Capitalism will eat democracy -- unless we speak up,19.683333333333334,Yanis Varoufakis,Economist and professor,TEDGlobal>Geneva,"global issues, politics, business, economics, activism, United States, society, democracy, money, Europe, government, finance, capitalism, investing",3351679,https://www.ted.com/talks/yanis_varoufakis_capitalism_will_eat_democracy_unless_we_speak_up,2016-01-25,2015-12-08,"Greek, English, Chinese, Yue, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Indonesian, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Chinese, Simplified, Romanian, French, Croatian, German, Hungarian, Persian, Finnish, Danish, Japanese, Hebrew, Georgian, Serbian, Albanian, Korean, Swedish, Macedonian, Ukrainian, Galician, Bulgarian, Northern Kurdish (Kurmanji), Turkish",100000
2414,Glow-in-the-dark sharks and other stunning sea creatures,13.733333333333333,David Gruber,Marine biologist and President of Project CETI,Mission Blue II,"environment, science, nature, biology, fish, photography, biodiversity, exploration, water, beauty, neuroscience, Mission Blue, marine biology, ocean",2511153,https://www.ted.com/talks/david_gruber_glow_in_the_dark_sharks_and_other_stunning_sea_creatures,2016-01-26,2015-10-10,"Polish, Greek, English, Chinese, Yue, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Spanish, Russian, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Thai, French, German, Japanese, Hebrew, Serbian, Korean, Dutch, Czech, Hungarian",75000
24298,Why are human bodies asymmetrical?,4.05,Leo Wan,Educator,TED-Ed,"science, health, animals, nature, biology, TED-Ed, animation, human body",1166666,https://www.ted.com/talks/leo_q_wan_why_are_human_bodies_asymmetrical,2019-04-01,2016-01-25,"Polish, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Spanish, Russian, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Thai, Romanian, French, Persian, Japanese, Hebrew, Serbian, Korean, Slovenian, Marathi, Ukrainian, Indonesian",34000
2416,Should you be able to patent a human gene?,17.916666666666668,Tania Simoncelli,Policy expert,TEDxAmoskeagMillyard,"science, technology, biotech, genetics, innovation, health, health care, nature, cancer, communication, activism, medicine, law, public health, society, TEDx, government, medical research, policy, drugs",1166595,https://www.ted.com/talks/tania_simoncelli_should_you_be_able_to_patent_a_human_gene,2016-01-27,2014-11-15,"Portuguese, Brazilian, Greek, English, Vietnamese, Italian, Arabic, Galician, Spanish, Russian, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Thai, French, Bulgarian, German, Japanese, Hebrew, Serbian, Korean, Burmese, Persian, Czech, Polish",34000
2419,A robot that runs and swims like a salamander,14.0,Auke Ijspeert,Roboticist,TEDGlobal>Geneva,"technology, design, engineering, invention, biotech, innovation, robots, animals, nature, biology, future, physics, neuroscience",2082212,https://www.ted.com/talks/auke_ijspeert_a_robot_that_runs_and_swims_like_a_salamander,2016-01-28,2015-12-08,"English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Spanish, Russian, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, French, Bulgarian, German, Persian, Japanese, Hebrew, Korean, Ukrainian, Dutch, Hungarian, Polish, Greek, Romanian",62000
2418,Our campaign to ban plastic bags in Bali,10.833333333333334,Melati and Isabel Wijsen,Activists,TEDGlobal>London,"environment, sustainability, engineering, education, future, consumerism, activism, pollution, plastic, youth, international development, ocean",1827934,https://www.ted.com/talks/melati_and_isabel_wijsen_our_campaign_to_ban_plastic_bags_in_bali,2016-01-29,2015-09-29,"Greek, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Indonesian, Spanish, Russian, Portuguese, Chinese, Traditional, Turkish, Nepali, Chinese, Simplified, French, Hungarian, Persian, Japanese, Hebrew, Serbian, Korean, Swedish, Ukrainian, Marathi, Burmese, Dutch, Bulgarian, German, Mongolian, Urdu, Northern Kurdish (Kurmanji)",54000
2417,A delightful way to teach kids about computers,10.9,Linda Liukas,"Programmer, storyteller and illustrator",TEDxCERN,"technology, design, computers, software, education, creativity, future, storytelling, product design, parenting, TEDx, Internet, algorithm, code",2144721,https://www.ted.com/talks/linda_liukas_a_delightful_way_to_teach_kids_about_computers,2016-02-01,2015-10-09,"English, Greek, Vietnamese, Catalan, Italian, Swedish, Arabic, Portuguese, Brazilian, Spanish, Russian, Portuguese, Chinese, Traditional, Turkish, Latvian, Chinese, Simplified, Lithuanian, Romanian, Polish, French, Bulgarian, Ukrainian, German, Hungarian, Persian, Japanese, Hebrew, Serbian, Korean, Slovenian, Burmese, Mongolian",64000
24301,Can you solve the temple riddle?,4.05,Dennis Shasha,Educator,TED-Ed,"math, TED-Ed, animation",9757299,https://www.ted.com/talks/dennis_shasha_can_you_solve_the_temple_riddle,2019-03-01,2016-02-01,"Greek, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Spanish, Russian, Portuguese, Chinese, Traditional, Latvian, Chinese, Simplified, French, German, Hungarian, Persian, Japanese, Hebrew, Serbian, Korean, Polish, Turkish, Thai, Bulgarian",292000
2424,The boiling river of the Amazon,15.666666666666666,Andrés Ruzo,Geoscientist,TEDGlobal 2014,"environment, science, nature, motivation, exploration, beauty, geology, chemistry, bioethics, South America, ecology, rivers, indigenous peoples",2259393,https://www.ted.com/talks/andres_ruzo_the_boiling_river_of_the_amazon,2016-02-02,2014-10-06,"English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Spanish, Russian, Portuguese, Chinese, Traditional, Turkish, Thai, French, Bulgarian, Hungarian, Persian, Japanese, Hebrew, Serbian, Korean, Dutch, Chinese, Simplified, German, Polish, Romanian",67000
2420,A simple way to break a bad habit,9.233333333333333,Judson Brewer,Mindful addiction doctor,TEDMED 2015,"science, health, nature, cognitive science, motivation, personal growth, brain, decision-making, mental health, curiosity, neuroscience, meditation, mindfulness, TEDMED, addiction",17956235,https://www.ted.com/talks/judson_brewer_a_simple_way_to_break_a_bad_habit,2016-02-03,2015-11-18,"Greek, Esperanto, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Macedonian, Czech, Spanish, Russian, Dutch, Portuguese, Chinese, Simplified, Chinese, Traditional, Turkish, Croatian, Thai, Romanian, Belarusian, French, Bulgarian, German, Hungarian, Persian, Hindi, Finnish, Hebrew, Serbian, Korean, Swedish, Slovak, Marathi, Burmese, Telugu, Japanese, Ukrainian, Galician, Indonesian, Lithuanian, Polish, Northern Kurdish (Kurmanji), Kurdish (Central)",538000
